Age,Male,Female
30,45.86,50.79
31,44.97,49.84
32,44.07,48.89
33,43.18,47.94
34,42.29,47
35,41.39,46.06
36,40.5,45.12
37,39.62,44.18
38,38.73,43.24
39,37.85,42.31
40,36.97,41.38
41,36.09,40.45
42,35.21,39.52
43,34.34,38.6
44,33.46,37.68
45,32.59,36.76
46,31.73,35.85
47,30.87,34.94
48,30.01,34.04
49,29.17,33.14
50,28.33,32.24
51,27.5,31.35
52,26.67,30.47
53,25.86,29.59
54,25.06,28.72
55,24.27,27.86
56,23.48,27.01
57,22.71,26.16
58,21.95,25.32
59,21.21,24.49
60,20.47,23.67
61,19.74,22.85
62,19.03,22.04
63,18.32,21.24
64,17.63,20.45
65,16.94,19.66
66,16.26,18.88
67,15.58,18.1
68,14.91,17.34
69,14.24,16.58
70,13.59,15.82
71,12.94,15.08
72,12.3,14.36
73,11.67,13.64
74,11.05,12.94
75,10.46,12.26
76,9.88,11.6
77,9.32,10.95
78,8.77,10.31
79,8.25,9.7
80,7.74,9.1
81,7.25,8.53
82,6.77,7.98
83,6.31,7.44
84,5.88,6.93
85,5.47,6.44
86,5.07,5.99
87,4.7,5.55
88,4.35,5.15
89,4.02,4.76
90,3.72,4.41
91,3.44,4.08
92,3.18,3.78
93,2.96,3.51
94,2.75,3.27
95,2.57,3.05
96,2.42,2.85
97,2.28,2.68
98,2.15,2.52
99,2.04,2.37
100,1.93,2.23
